5/3/2021 10:41:13 PM: INFO, Starting session.....
5/3/2021 10:41:14 PM: INFO, Initializing treeview.
5/3/2021 10:41:14 PM: INFO, Finished initializing treeview
5/3/2021 10:41:14 PM: INFO, Initializing column list
5/3/2021 10:41:14 PM: INFO, Finished loading column data
5/3/2021 10:41:14 PM: INFO, Initializing date range list
5/3/2021 10:41:14 PM: INFO, Finished loading date ranges
5/3/2021 10:42:45 PM: INFO, Starting session.....
5/3/2021 10:42:45 PM: INFO, Initializing treeview.
5/3/2021 10:42:45 PM: INFO, Finished initializing treeview
5/3/2021 10:42:45 PM: INFO, Initializing column list
5/3/2021 10:42:45 PM: INFO, Finished loading column data
5/3/2021 10:42:45 PM: INFO, Initializing date range list
5/3/2021 10:42:45 PM: INFO, Finished loading date ranges
5/3/2021 10:43:09 PM: INFO, Initializing column list
5/3/2021 10:43:09 PM: INFO, Finished loading column data
5/3/2021 10:48:11 PM: INFO, Starting session.....
5/3/2021 10:48:12 PM: INFO, Initializing treeview.
5/3/2021 10:48:12 PM: INFO, Finished initializing treeview
5/3/2021 10:48:12 PM: INFO, Initializing column list
5/3/2021 10:48:12 PM: INFO, Finished loading column data
5/3/2021 10:48:12 PM: INFO, Initializing date range list
5/3/2021 10:48:12 PM: INFO, Finished loading date ranges
5/3/2021 10:49:29 PM: INFO, Starting session.....
5/3/2021 10:49:29 PM: INFO, Initializing treeview.
5/3/2021 10:49:29 PM: INFO, Finished initializing treeview
5/3/2021 10:49:29 PM: INFO, Initializing column list
5/3/2021 10:49:29 PM: INFO, Finished loading column data
5/3/2021 10:49:30 PM: INFO, Initializing date range list
5/3/2021 10:49:30 PM: INFO, Finished loading date ranges
5/3/2021 10:49:56 PM: INFO, Starting session.....
5/3/2021 10:49:56 PM: INFO, Initializing treeview.
5/3/2021 10:49:57 PM: INFO, Finished initializing treeview
5/3/2021 10:49:57 PM: INFO, Initializing column list
5/3/2021 10:49:57 PM: INFO, Finished loading column data
5/3/2021 10:49:57 PM: INFO, Initializing date range list
5/3/2021 10:49:57 PM: INFO, Finished loading date ranges
5/3/2021 10:51:09 PM: INFO, Starting session.....
5/3/2021 10:51:10 PM: INFO, Initializing treeview.
5/3/2021 10:51:10 PM: INFO, Finished initializing treeview
5/3/2021 10:51:10 PM: INFO, Initializing column list
5/3/2021 10:51:10 PM: INFO, Finished loading column data
5/3/2021 10:51:10 PM: INFO, Initializing date range list
5/3/2021 10:51:10 PM: INFO, Finished loading date ranges
5/3/2021 10:51:58 PM: INFO, Starting session.....
5/3/2021 10:51:58 PM: INFO, Initializing treeview.
5/3/2021 10:51:58 PM: INFO, Finished initializing treeview
5/3/2021 10:51:58 PM: INFO, Initializing column list
5/3/2021 10:51:58 PM: INFO, Finished loading column data
5/3/2021 10:51:58 PM: INFO, Initializing date range list
5/3/2021 10:51:58 PM: INFO, Finished loading date ranges
5/3/2021 10:53:47 PM: INFO, Starting session.....
5/3/2021 11:05:06 PM: INFO, Starting session.....
5/3/2021 11:21:58 PM: INFO, Starting session.....
5/3/2021 11:22:32 PM: INFO, Starting session.....
5/3/2021 11:27:00 PM: INFO, Starting session.....
5/3/2021 11:27:40 PM: INFO, Starting session.....
